Classification;Count;Standardized Category;Logic
10;1;Miscellaneous & Unclassified;Ambiguous tags, filler data, or general junk categories.
AS;1;Miscellaneous & Unclassified;Ambiguous tags, filler data, or general junk categories.
C;1;Miscellaneous & Unclassified;Ambiguous tags, filler data, or general junk categories.
JUNK;1;Miscellaneous & Unclassified;Ambiguous tags, filler data, or general junk categories.
MISC;2;Miscellaneous & Unclassified;Ambiguous tags, filler data, or general junk categories.
YARD;1;Residential & Personal;Smaller, non-commercial collections or backyard-style storage.
ag;2;Agricultural & Farm;Equipment and machinery specifically for farming and agribusiness.
agricultural;99;Agricultural & Farm;Equipment and machinery specifically for farming and agribusiness.
art;2;Specialty & Classic Vehicles;High-value, vintage, or curated collections and museum-quality lots.
auction;22;Sales & Auctions;Commercial storefronts and clearinghouses for salvaged goods.
auto parts;1;Auto Salvage & Parts;Core automotive recycling, dismantling, and major salvage networks.
auto repair;255;Auto Salvage & Parts;Core automotive recycling, dismantling, and major salvage networks.
auto salvage;2782;Auto Salvage & Parts;Core automotive recycling, dismantling, and major salvage networks.
aviation;7;Small Engine & Recreational;Non-car transport including lawn, watercraft, air, and leisure vehicles.
backyard;1;Residential & Personal;Smaller, non-commercial collections or backyard-style storage.
bus;2;Public Service & Municipal;Government-owned, emergency service, or public transit related vehicles.
c;7;Miscellaneous & Unclassified;Ambiguous tags, filler data, or general junk categories.
classic;1;Specialty & Classic Vehicles;High-value, vintage, or curated collections and museum-quality lots.
classics;65;Specialty & Classic Vehicles;High-value, vintage, or curated collections and museum-quality lots.
cluster;60;Residential & Personal;Smaller, non-commercial collections or backyard-style storage.
collection;328;Specialty & Classic Vehicles;High-value, vintage, or curated collections and museum-quality lots.
construction;11;Heavy Equipment & Industrial;Large-scale construction, manufacturing, and logistics-related salvage.
construction salvage;1;Auto Salvage & Parts;Core automotive recycling, dismantling, and major salvage networks.
copart;17;Auto Salvage & Parts;Core automotive recycling, dismantling, and major salvage networks.
farm;5;Agricultural & Farm;Equipment and machinery specifically for farming and agribusiness.
fire truck manufacturing;1;Heavy Equipment & Industrial;Large-scale construction, manufacturing, and logistics-related salvage.
firetruck;1;Heavy Equipment & Industrial;Large-scale construction, manufacturing, and logistics-related salvage.
forklift;3;Heavy Equipment & Industrial;Large-scale construction, manufacturing, and logistics-related salvage.
iaa;10;Auto Salvage & Parts;Core automotive recycling, dismantling, and major salvage networks.
impound;7;Public Service & Municipal;Government-owned, emergency service, or public transit related vehicles.
jetski;1;Small Engine & Recreational;Non-car transport including lawn, watercraft, air, and leisure vehicles.
junk;66;Miscellaneous & Unclassified;Ambiguous tags, filler data, or general junk categories.
lawn mower;6;Small Engine & Recreational;Non-car transport including lawn, watercraft, air, and leisure vehicles.
lawnmower;1;Small Engine & Recreational;Non-car transport including lawn, watercraft, air, and leisure vehicles.
lkq;47;Auto Salvage & Parts;Core automotive recycling, dismantling, and major salvage networks.
manufacturing;1;Heavy Equipment & Industrial;Large-scale construction, manufacturing, and logistics-related salvage.
marine;21;Small Engine & Recreational;Non-car transport including lawn, watercraft, air, and leisure vehicles.
military;17;Public Service & Municipal;Government-owned, emergency service, or public transit related vehicles.
motorcycle;5;Small Engine & Recreational;Non-car transport including lawn, watercraft, air, and leisure vehicles.
municipal;1;Public Service & Municipal;Government-owned, emergency service, or public transit related vehicles.
museum;2;Specialty & Classic Vehicles;High-value, vintage, or curated collections and museum-quality lots.
oil;2;Heavy Equipment & Industrial;Large-scale construction, manufacturing, and logistics-related salvage.
pallets;1;Heavy Equipment & Industrial;Large-scale construction, manufacturing, and logistics-related salvage.
parts;437;Auto Salvage & Parts;Core automotive recycling, dismantling, and major salvage networks.
random;6;Miscellaneous & Unclassified;Ambiguous tags, filler data, or general junk categories.
repair;24;Auto Salvage & Parts;Core automotive recycling, dismantling, and major salvage networks.
retired;138;Retired & Inactive;Sites verified as no longer operational or specifically for media/archival.
retired?;1;Retired & Inactive;Sites verified as no longer operational or specifically for media/archival.
retired_youtube;2;Retired & Inactive;Sites verified as no longer operational or specifically for media/archival.
rv;5;Small Engine & Recreational;Non-car transport including lawn, watercraft, air, and leisure vehicles.
sales;18;Sales & Auctions;Commercial storefronts and clearinghouses for salvaged goods.
salvage;1;Auto Salvage & Parts;Core automotive recycling, dismantling, and major salvage networks.
scrap;90;Auto Salvage & Parts;Core automotive recycling, dismantling, and major salvage networks.
semi;10;Heavy Equipment & Industrial;Large-scale construction, manufacturing, and logistics-related salvage.
snowmobile;3;Miscellaneous & Unclassified;Ambiguous tags, filler data, or general junk categories.
storage;7;Agricultural & Farm;Equipment and machinery specifically for farming and agribusiness.
tire;2;Miscellaneous & Unclassified;Ambiguous tags, filler data, or general junk categories.
tires;5;Miscellaneous & Unclassified;Ambiguous tags, filler data, or general junk categories.
towing;455;Auto Salvage & Parts;Core automotive recycling, dismantling, and major salvage networks.
windmill;2;Miscellaneous & Unclassified;Ambiguous tags, filler data, or general junk categories.
yard;61;Residential & Personal;Smaller, non-commercial collections or backyard-style storage.
yards;1;Residential & Personal;Smaller, non-commercial collections or backyard-style storage.
